timestamp,reqNum,,,,
1543763359,1,,,,11043
1543763360,14,,,,11044
1543763361,88,,,,11045
1543763362,42,,,,11046
1543763363,41,,,,11047
1543763364,107,,,,11048
1543763365,31,,,,11049
1543763366,206,,,,11050
1543763367,26,,,,11051
1543763368,36,,,,11052
1543763369,35,,,,11053
1543763371,1,,,,11055
1543763372,14,,,,11056
1543763373,161,,,,11057
1543763374,101,,,,11058
1543763375,1,,,,11059
1543763376,178,,,,11060
1543763377,65,,,,11061
1543763378,32,,,,11062
1543763379,15,,,,11063
1543763380,13,,,,11064
1543763381,106,,,,11065
1543763382,8,,,,11066
1543763383,116,,,,11067
1543763384,14,,,,11068
1543763385,2,,,,11069
1543763386,2,,,,11070
1543763387,9,,,,11071
1543763388,120,,,,11072
1543763389,54,,,,11073
1543763390,126,,,,11074
1543763391,24,,,,11075
1543763392,36,,,,11076
1543763393,5,,,,11077
1543763394,61,,,,11078
1543763395,22,,,,11079
1543763396,12,,,,11080
1543763397,25,,,,11081
1543763398,65,,,,11082
1543763399,7,,,,11083
1543763400,9,,,,11084
1543763401,27,,,,11085
1543763402,73,,,,11086
1543763403,12,,,,11087
1543763404,5,,,,11088
1543763405,6,,,,11089
1543763406,89,,,,11090
1543763407,52,,,,11091
1543763408,9,,,,11092
1543763409,84,,,,11093
1543763410,267,,,,11094
1543763411,175,,,,11095
1543763412,34,,,,11096
1543763413,6,,,,11097
1543763414,9,,,,11098
1543763415,22,,,,11099
1543763416,61,,,,11100
1543763417,143,,,,11101
1543763418,34,,,,11102
1543763419,9,,,,11103
1543763420,40,,,,11104
1543763421,117,,,,11105
1543763422,125,,,,11106
1543763423,63,,,,11107
1543763424,23,,,,11108
1543763425,25,,,,11109
1543763426,19,,,,11110
1543763427,87,,,,11111
1543763428,122,,,,11112
1543763429,18,,,,11113
1543763430,59,,,,11114
1543763431,52,,,,11115
1543763432,82,,,,11116
1543763433,109,,,,11117
1543763434,65,,,,11118
1543763435,24,,,,11119
1543763436,16,,,,11120
1543763437,63,,,,11121
1543763438,105,,,,11122
1543763439,63,,,,11123
1543763440,24,,,,11124
1543763441,49,,,,11125
1543763442,34,,,,11126
1543763443,63,,,,11127
1543763444,16,,,,11128
1543763445,50,,,,11129
1543763446,36,,,,11130
1543763447,60,,,,11131
1543763448,18,,,,11132
1543763449,5,,,,11133
1543763450,5,,,,11134
1543763451,9,,,,11135
1543763452,4,,,,11136
1543763453,5,,,,11137
1543763454,10,,,,11138
1543763455,3,,,,11139
1543763456,18,,,,11140
1543763457,9,,,,11141
1543763458,35,,,,11142
1543763459,36,,,,11143
1543763460,22,,,,11144
1543763461,33,,,,11145
1543763462,45,,,,11146
1543763463,37,,,,11147
1543763464,33,,,,11148
1543763465,14,,,,11149
1543763466,28,,,,11150
1543763467,3,,,,11151
1543763468,35,,,,11152
1543763469,6,,,,11153
1543763470,3,,,,11154
1543763471,41,,,,11155
1543763472,17,,,,11156
1543763473,22,,,,11157
1543763474,20,,,,11158
1543763475,11,,,,11159
1543763476,68,,,,11160
1543763477,7,,,,11161
1543763478,83,,,,11162
1543763479,33,,,,11163
1543763480,52,,,,11164
1543763481,118,,,,11165
1543763482,3,,,,11166
1543763483,89,,,,11167
1543763484,34,,,,11168
1543763485,84,,,,11169
1543763486,14,,,,11170
1543763487,113,,,,11171
1543763488,30,,,,11172
1543763489,139,,,,11173
1543763490,33,,,,11174
1543763491,121,,,,11175
1543763492,25,,,,11176
1543763493,49,,,,11177
1543763494,46,,,,11178
1543763495,6,,,,11179
1543763496,2,,,,11180
1543763497,98,,,,11181
1543763498,14,,,,11182
1543763499,183,,,,11183
1543763500,99,,,,11184
1543763501,14,,,,11185
1543763502,19,,,,11186
1543763503,9,,,,11187
1543763505,17,,,,11189
1543763506,89,,,,11190
1543763509,67,,,,11193
1543763510,2,,,,11194
1543763512,59,,,,11196
1543763513,1,,,,11197
1543763514,36,,,,11198
1543763515,30,,,,11199
1543763516,20,,,,11200
1543763517,33,,,,11201
1543763518,29,,,,11202
1543763519,64,,,,11203
1543763520,11,,,,11204
1543763521,7,,,,11205
1543763522,45,,,,11206
1543763523,28,,,,11207
1543763524,63,,,,11208
1543763525,22,,,,11209
1543763526,46,,,,11210
1543763527,41,,,,11211
1543763528,8,,,,11212
1543763529,33,,,,11213
1543763530,18,,,,11214
1543763531,66,,,,11215
1543763532,1,,,,11216
1543763533,21,,,,11217
1543763534,14,,,,11218
1543763535,8,,,,11219
1543763536,1,,,,11220
1543763537,269,,,,11221
1543763538,1,,,,11222
1543763539,124,,,,11223
1543763541,84,,,,11225
1543763542,25,,,,11226
1543763543,26,,,,11227
1543763544,56,,,,11228
1543763545,45,,,,11229
1543763546,37,,,,11230
1543763547,1,,,,11231
1543763548,6,,,,11232
1543763549,2,,,,11233
1543763550,32,,,,11234
1543763551,58,,,,11235
1543763552,66,,,,11236
1543763553,25,,,,11237
1543763554,58,,,,11238
1543763555,11,,,,11239
1543763556,70,,,,11240
1543763557,31,,,,11241
1543763558,36,,,,11242
1543763559,60,,,,11243
1543763560,16,,,,11244
1543763561,68,,,,11245
1543763562,62,,,,11246
1543763563,46,,,,11247
1543763564,49,,,,11248
1543763565,41,,,,11249
1543763566,68,,,,11250
1543763567,27,,,,11251
1543763568,92,,,,11252
1543763569,76,,,,11253
1543763570,43,,,,11254
1543763571,64,,,,11255
1543763572,84,,,,11256
1543763574,198,,,,11258
1543763575,40,,,,11259
1543763576,162,,,,11260
1543763577,27,,,,11261
1543763578,123,,,,11262
1543763579,47,,,,11263
1543763580,124,,,,11264
1543763581,16,,,,11265
1543763582,218,,,,11266
1543763583,157,,,,11267
1543763584,1,,,,11268
1543763585,134,,,,11269
1543763586,1,,,,11270
1543763587,221,,,,11271
1543763588,69,,,,11272
1543763589,37,,,,11273
1543763590,1,,,,11274
1543763591,34,,,,11275
1543763592,15,,,,11276
1543763593,73,,,,11277
1543763594,6,,,,11278
1543763595,68,,,,11279
1543763596,77,,,,11280
1543763597,28,,,,11281
1543763598,59,,,,11282
1543763599,4,,,,11283
1543763600,7,,,,11284
1543763601,75,,,,11285
1543763602,14,,,,11286
1543763603,10,,,,11287
1543763605,159,,,,11289
1543763606,6,,,,11290
1543763607,77,,,,11291
1543763608,10,,,,11292
1543763609,44,,,,11293
1543763610,52,,,,11294
1543763611,42,,,,11295
1543763612,15,,,,11296
1543763613,22,,,,11297
1543763614,3,,,,11298
1543763615,63,,,,11299
1543763616,18,,,,11300
1543763617,28,,,,11301
1543763618,63,,,,11302
1543763619,16,,,,11303
1543763620,64,,,,11304
1543763622,12,,,,11306
1543763623,90,,,,11307
1543763624,4,,,,11308
1543763625,129,,,,11309
1543763626,78,,,,11310
1543763627,13,,,,11311
1543763628,6,,,,11312
1543763629,42,,,,11313
1543763630,54,,,,11314
1543763631,11,,,,11315
1543763632,213,,,,11316
1543763633,35,,,,11317
1543763634,118,,,,11318
1543763635,75,,,,11319
1543763636,7,,,,11320
1543763637,123,,,,11321
1543763638,44,,,,11322
1543763639,204,,,,11323
1543763640,269,,,,11324
1543763641,38,,,,11325
1543763642,63,,,,11326
1543763643,9,,,,11327
1543763644,267,,,,11328
1543763645,163,,,,11329
1543763646,56,,,,11330
1543763647,21,,,,11331
1543763648,10,,,,11332
1543763649,141,,,,11333
1543763650,21,,,,11334
1543763651,125,,,,11335
1543763652,216,,,,11336
1543763653,1,,,,11337
1543763654,94,,,,11338
1543763655,5,,,,11339
1543763656,167,,,,11340
1543763657,21,,,,11341
1543763658,66,,,,11342
1543763659,7,,,,11343
1543763660,7,,,,11344
1543763661,3,,,,11345
1543763662,21,,,,11346
1543763664,11,,,,11348
1543763666,141,,,,11350
1543763667,92,,,,11351
1543763668,104,,,,11352
1543763669,10,,,,11353
1543763670,130,,,,11354
1543763671,21,,,,11355
1543763672,150,,,,11356
1543763673,212,,,,11357
1543763674,18,,,,11358
1543763675,40,,,,11359
1543763676,67,,,,11360
1543763677,91,,,,11361
1543763678,6,,,,11362
